QueryNumber;QueryText
1;what are the effect of calcium on the physic properti of mucu from cf patient
2;can one distinguish between the effect of mucu hypersecret and infect on the submucos gland of the respiratori tract in cf
3;how are salivari glycoprotein from cf patient differ from those of normal subject
4;what is the lipid composit of cf respiratori secret
5;is cf mucu abnorm
6;what is the effect of water or other therapeut agent on the physic properti viscos elast of sputum or bronchial secret from cf patient
7;are mucu glycoprotein degrad differ in cf patient as compar to those from normal subject
8;what histochem differ have been describ between normal and cf respiratori epithelia
9;what is the associ between liver diseas cirrhosi and vitamin a metabol in cf
10;what is the role of vitamin e in the therapi of patient with cf
11;what is the differ between meconium ileu and meconium plug syndrom
12;what abnorm of amino acid transport have been describ in the small bowel of cf patient
13;what are the clinic or biochem featur of pancreat in cf patient
14;what non invas test can be perform for the evalu of exocrin pancreat function in patient with cf
15;what are the hepat complic or manifest of cf
16;what are the gastrointestin complic of cf after the neonat period exclud liver diseas and meconium ileu
17;what is the most effect regimen for the use of pancreat enzym supplement in the treatment of cf patient
18;is dietari supplement with bile salt of therapeut benefit to cf patient
19;what complic of pancreat enzym therapi have been report in cf patient
20;what is the effect of treatment of cf patient with essenti fatti acid supplement
21;doe pancreat insuffici in cf patient affect their abil to absorb or metabol iron
22;what is the frequenc of cf in non caucasian popul
23;what congenit or hereditari diseas or condit have been found in associ with cf
24;what are the characterist of patient in whom cf is incomplet manifest
25;what evid is there that the genet basi for cf involv more than one gene
26;what is the heterozygot advantag in cf
27;what is the concord of clinic or biochem manifest of cf in sibl pair both of whom have cf
28;what is the incid of male fertil in cf
29;what is the patholog of the reproduct system male or femal in cf
30;what are the result of genet counsel of famili of children with cf
31;what are the major psycholog or social effect of cf on patient and their famili
32;what factor influenc complianc with prescrib therapi in cf patient
33;what condit or factor lead to erron sweat test
34;what altern techniqu other than the classic gibson cook quantit pilocarpin iontophoresi test with titrimetr analysi of chlorid are avail for sweat test what are their rel advantag and disadvantag
35;ha ani cf patient been found to have consist normal sweat test
36;what is the concentr of potassium in sweat from cf patient
37;what techniqu are avail for screen of newborn infant for cf and what factor contribut to erron result of these test
38;can cf be diagnos prenat
39;how may heterozygot for cf be identifi
40;other than the sweat test what techniqu may be use beyond the neonat period for the diagnosi of cf
41;is vitamin d metabol normal in cf patient
42;what abnorm of insulin secret or insulin metabol occur in cf patient
43;is salt sodium and or chlorid transport permeabl abnorm in cf
44;what structur or enzymat differ are there between fibroblast from cf patient and non cf patient
45;what abnorm of prostaglandin metabol have been describ in cf patient
46;what are the properti and activ of galactosyltransferas enzym from cf patient
47;what differ between normal subject and cf patient have been describ in the function or metabol of hormon
48;do fibroblast from cf patient grow at a normal rate
49;is rna methyl or polyamin metabol normal in cf patient
50;what defect in the synthesi or metabol of cyclic nucleotid have been describ in cf patient
51;what circul or secret factor have been describ in cf patient factor are unidentifi biolog activ molecul thought to play some pathogenet role in cystic fibrosi
52;what is known about prolactin in cf patient
53;doe secretori iga protect cf patient against bacteri colon or infect
54;what is the relationship of allergi or hypersensit to lung diseas in cf patient
55;what are the interact between proteas endogen or bacteri origin and antiproteas in the lung of cf patient
56;what is the relationship between nutrit and pulmonari host defens against bacteri infect in cf patient
57;what is the pathophysiolog role of circul antibodi to pseudomona aeruginosa in cf patient
58;what is the immunolog respons to pulmonari infect in cf patient
59;what immunolog abnorm have been found in cf patient
60;what are the effect of cf on the pulmonari circul
61;is there a defect in mucociliari transport clearanc in the respiratori tract of cf patient
62;what are the clinic featur of lung diseas in cf patient
63;what are the biochem or microscop characterist of airway inflamm in cf patient
64;how doe lung function chang with time in cf patient time period greater than a day
65;what are the abnorm of pulmonari function in cf patient
66;what are the patholog featur of lung diseas in cf patient
67;what is the prognosi for patient who have had an episod of respiratori failur
68;what are the effect of bronchodil in cf patient
69;what is the best way to treat pneumothorax in cf patient
70;what is the treatment for and prognosi of hemoptysi in cf patient
71;what is the prognosi for infant with wheez and cystic fibrosi
72;what is the best treatment for nasal polyp in cf patient
73;how effect is bronchial lavag in cf patient
74;what are the result of mechan ventil in cf patient with respiratori failur
75;what is the best treatment for pulmonari hypertens and or cor pulmonal in cf patient
76;what are the effect of exercis train program on lung function in cf patient
77;what techniqu are effect in promot clearanc of mucu from the lung of cf patient
78;what special consider are there for treatment of cf patient with antibiot ie are the pharmacodynam of antibiot differ in cf patient or are there other special problem peculiar to cf
79;what is the role of oral administ antibiot in the treatment of cf patient
80;what is the evid that combin therapi with aminoglycosid and semisynthet penicillin is more effect than therapi with either alon
81;how effect are inhal of mucolyt agent in the treatment of cf patient
82;what is the role of aerosol in the treatment of lung diseas in cf patient
83;what is the role of bacteri phagocytosi by alveolar macrophag or polymorphonuclear leukocyt in lung diseas in cf patient
84;what is the relationship between haemophilu influenza and pseudomona aeruginosa in cf patient
85;do cf patient ever develop infect in organ other than the lung if so in what organ
86;what is the role of bacteria other than pseudomona aeruginosa staphylococcu aureu or haemophilu influenza in the pathogenesi of lung diseas in cf patient
87;what is the role of fungi in the pathogenesi of lung diseas in cf patient
88;what is the role of viral infect in the lung diseas of cf patient
89;what is the epidemiolog of pseudomona aeruginosa in cf patient specif do cf patient spread pseudomona aeruginosa to other patient or to other individu famili
90;what factor are respons for the appear of mucoid strain of pseudomona aeruginosa in cf patient
91;what are the unusu manifest of cf other than lung diseas or exocrin pancreat insuffici
92;what is the prognosi for surviv of patient with cf
94;what anim model are avail which are relev to cf
95;what abnorm of skelet muscl function or structur have been found in cf patient
96;is there an increas incid of dental problem eg cari or periodont diseas in cf patient
97;is oxygen transport by red blood cell abnorm in cf patient
98;what are the effect of cf on the develop and or function of the brain and central nervou system
99;are there abnorm of tast in cf patient
100;what is the incid of and treatment for hypertroph osteoarthropathi in cf patient
